col,typevalue,usenull,p_null,p_unique,p_max_row_class,rank_topsis
third_loc_id,1.0,1.0,0.033936944638739926,0.013533328152120409,0.03196290251547888,0.9796465981776438
second_loc_id,1.0,1.0,0.026154762829978497,0.003212352011605917,0.06707080127457837,0.9662681366376283
cost_center_id,1.0,1.0,0.025988964016476258,0.0012642159529545867,0.06838164814383046,0.9657462297415964
asset_id,1.0,1.0,0.02590088339680319,0.05190539105204529,0.03169347944353773,0.9598368990950255
asset_group_id,1.0,1.0,0.02590088339680319,0.006580140410870185,0.08945882231030285,0.9554250309434654
logged_user_id,1.0,1.0,0.1571358254967488,0.0012642159529545867,0.08273878915054014,0.9445851605511195
first_loc_id,1.0,1.0,0.026087407061993213,0.0006528328281650733,0.1133079453900158,0.9445387429970635
area_id,1.0,1.0,0.0,6.735576798528536e-05,0.2453563379187068,0.8850829853398764
employee_id,1.0,1.0,0.5225615916686096,0.00185487422605632,0.020496878319214533,0.8814595395333602
employee_team_id,1.0,1.0,0.5394264397295407,0.0004611279500531074,0.0947592031294526,0.8699206906820343
maint_plan_id,1.0,1.0,0.6661640890132379,0.018761171990362945,0.007243335664879148,0.8524547563878747
maint_service_type_id,1.0,1.0,0.0,8.289940675112044e-05,0.33349395093391365,0.8477021152969396
maint_service_nature_id,1.0,1.0,0.5451205927307583,0.00011916789720473564,0.19966840237299552,0.8464086122116292
maint_req_priority,1.0,1.0,0.8432164969819435,0.00021242972979974606,0.08219476179373593,0.8161252241096163
cancel_user_id,1.0,1.0,0.8866091552032329,0.0006372891893992382,0.013989274889251576,0.8138988795238898
maint_order_cancel_reason_id,1.0,1.0,0.8898111447889951,9.326183259501049e-05,0.053817258620243,0.8107597034371788
asset_part_id,1.0,1.0,0.9321002046579104,0.01720162690085749,0.0012383098883448616,0.8051786073518074
operator_team_id,1.0,1.0,0.9787984767234008,0.0002538794331753063,0.006103468822051242,0.7988195961225882
damage_type_id,1.0,1.0,0.9829745343384888,1.5543638765835087e-05,0.011476386622108236,0.7978927103548843
asset_part_child_id,1.0,1.0,0.9873371156187664,0.005082769876428072,0.0004611279500531074,0.7972433261617389
component_id,1.0,1.0,0.9893888759358566,0.0067407580114504815,0.00013989274889251573,0.7967662027093162
maint_failure_id,1.0,1.0,0.99717623895754,0.0004144970337556022,0.000383409756223932,0.7960571372366143
maint_cause_id,1.0,1.0,0.9980622263671926,0.00038859096914587707,0.000378228543301987,0.7959153608639237
maint_action_id,1.0,1.0,0.9984145488458848,0.00026942307194114144,0.000373047330380042,0.7958685464438247
cause_type_id,1.0,1.0,0.9985492603818554,6.217455506334033e-05,0.00040931582083365717,0.7958629199701484
cause_countermeasure_id,1.0,1.0,0.9985803476593872,0.0001139866842827906,0.0002227921556436362,0.795861508392292
cause_feature_id,1.0,1.0,0.9985492603818554,2.072485168778011e-05,0.000725369809072304,0.7958526966710929
breakdown_typology_id,1.0,1.0,0.9985337167430895,4.144970337556022e-05,0.0008030880029014793,0.795850040688057
maint_possible_cause_id,1.0,1.0,0.9985751664464652,0.0014300147664568275,5.181212921945027e-06,0.7957572433521636
maint_order_on_hold_reason_id,1.0,1.0,0.9995181471982592,7.25369809072304e-05,0.00013989274889251573,0.7957161225261371
